class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,x33,y33,z33,v33
Huruf A,0.5370396375656128,0.19681903719902039,-0.4322081208229065,0.9999874830245972,0.5476429462432861,0.17806877195835114,-0.3988935053348541,0.999981164932251,0.5541709065437317,0.17953144013881683,-0.39904823899269104,0.9999724626541138,0.5604864358901978,0.18082374334335327,-0.39927980303764343,0.9999774694442749,0.526800274848938,0.1750285029411316,-0.406210333108902,0.9999781847000122,0.519379734992981,0.1751757264137268,-0.406194269657135,0.9999675750732422,0.5119195580482483,0.17581653594970703,-0.40630683302879333,0.9999736547470093,0.5657637119293213,0.19568811357021332,-0.20909801125526428,0.9999655485153198,0.498490571975708,0.19095942378044128,-0.24480369687080383,0.999961256980896,0.5475620031356812,0.2254105508327484,-0.3609774112701416,0.9999957084655762,0.5214188694953918,0.22234103083610535,-0.3711639642715454,0.9999955892562866,0.6026110649108887,0.3640958368778229,-0.12025704234838486,0.99997878074646,0.4338133931159973,0.3373810648918152,-0.1595766693353653,0.9999392032623291,0.6165876388549805,0.5419468283653259,-0.049948304891586304,0.9245786666870117,0.35934850573539734,0.5107223391532898,-0.10367107391357422,0.9667733311653137,0.6247382164001465,0.7041370868682861,-0.15287642180919647,0.797316312789917,0.26676031947135925,0.6473939418792725,-0.19113533198833466,0.8784379363059998,0.6327576637268066,0.7476457953453064,-0.17613379657268524,0.7348806858062744,0.23727087676525116,0.6803335547447205,-0.21490773558616638,0.8130610585212708,0.6284820437431335,0.748357355594635,-0.22562232613563538,0.7510547041893005,0.23827481269836426,0.6826270222663879,-0.27900466322898865,0.8372766971588135,0.622611939907074,0.7327602505683899,-0.17444553971290588,0.7655239105224609,0.24797704815864563,0.6771659851074219,-0.21937307715415955,0.8553619384765625,0.5638914108276367,0.6724013686180115,0.023004379123449326,0.9999700784683228,0.4591699540615082,0.6725954413414001,-0.023234738036990166,0.9999384880065918,0.5817157626152039,0.9175164699554443,-0.0986369252204895,0.8745094537734985,0.4720628261566162,0.932268500328064,-0.15816916525363922,0.8494126200675964,0.5452045202255249,0.8590520620346069,0.5953429341316223,0.04488220065832138,0.47834569215774536,0.870018720626831,0.5072388052940369,0.04782938212156296,0.5383813977241516,0.788874626159668,0.6710521578788757,0.07849738746881485,0.4825679659843445,0.8491522073745728,0.5831214785575867,0.08155807107686996,0.5308987498283386,0.9151580333709717,0.6977320909500122,0.05342867970466614,0.47043728828430176,0.9027355909347534,0.5930525064468384,0.060312043875455856
Huruf A,0.537066638469696,0.19706107676029205,-0.5587903261184692,0.9999828338623047,0.5476524233818054,0.17790836095809937,-0.5227879285812378,0.9999738335609436,0.5541926622390747,0.17939215898513794,-0.5229779481887817,0.9999628067016602,0.5604950189590454,0.180792897939682,-0.5231534838676453,0.9999682307243347,0.5268089771270752,0.1749543994665146,-0.5284031629562378,0.9999682903289795,0.5193254947662354,0.17511270940303802,-0.5284629464149475,0.999954879283905,0.511863648891449,0.17579130828380585,-0.5286478400230408,0.999962329864502,0.5658453702926636,0.1956505924463272,-0.3065269887447357,0.9999510049819946,0.49829229712486267,0.19091002643108368,-0.33611536026000977,0.9999463558197021,0.5475534200668335,0.22555166482925415,-0.4777626097202301,0.9999935626983643,0.5216802358627319,0.22261647880077362,-0.48606306314468384,0.9999929070472717,0.6030744314193726,0.3627401888370514,-0.16300223767757416,0.9999744892120361,0.4339164197444916,0.33740535378456116,-0.2084743082523346,0.9999310970306396,0.6170521974563599,0.5414475798606873,-0.05025706812739372,0.9268687963485718,0.36147838830947876,0.509168267250061,-0.1348571628332138,0.9678629636764526,0.628043532371521,0.702114999294281,-0.18781408667564392,0.8096356391906738,0.27188950777053833,0.6435457468032837,-0.26723790168762207,0.8848572373390198,0.634162962436676,0.7453073263168335,-0.22682949900627136,0.7483748197555542,0.23788006603717804,0.6795061826705933,-0.30850595235824585,0.8214043974876404,0.6304130554199219,0.7465994954109192,-0.2830832004547119,0.7639471292495728,0.23951192200183868,0.681411862373352,-0.3812884986400604,0.8448612689971924,0.6253268718719482,0.7314386367797852,-0.21319802105426788,0.7771809697151184,0.2518990635871887,0.675500214099884,-0.3011832535266876,0.8620918989181519,0.5643856525421143,0.6803417801856995,0.02643103525042534,0.9999350905418396,0.4611266553401947,0.6838185787200928,-0.026440870016813278,0.9999053478240967,0.5812362432479858,0.9128363132476807,0.05490732938051224,0.8665654063224792,0.47387582063674927,0.9274154305458069,-0.04767293483018875,0.8408153057098389,0.5571889281272888,0.9780330657958984,0.7713143229484558,0.056176166981458664,0.45939308404922485,1.008474349975586,0.616249680519104,0.05682503432035446,0.5525685548782349,0.9805008769035339,0.8401561975479126,0.08830232918262482,0.45840558409690857,1.0106041431427002,0.6833950877189636,0.08420273661613464,0.558300793170929,1.068205714225769,0.737783670425415,0.061765942722558975,0.45157426595687866,1.0845036506652832,0.5612604022026062,0.06536421924829483
Huruf A,0.537638247013092,0.19706286489963531,-0.426567941904068,0.9999816417694092,0.548047661781311,0.17764736711978912,-0.385912150144577,0.9999718070030212,0.5545973181724548,0.17918488383293152,-0.3861027657985687,0.9999607801437378,0.5608277320861816,0.18071861565113068,-0.3863408863544464,0.9999663829803467,0.5271798968315125,0.1746399849653244,-0.393694132566452,0.9999651908874512,0.5194257497787476,0.17476309835910797,-0.3937397003173828,0.9999512434005737,0.5119147300720215,0.17548541724681854,-0.39389073848724365,0.9999588131904602,0.5661051273345947,0.1954624354839325,-0.17674309015274048,0.9999486804008484,0.4982101023197174,0.19069485366344452,-0.2153993844985962,0.9999393820762634,0.5476371049880981,0.22555270791053772,-0.34937530755996704,0.999993085861206,0.5223516225814819,0.2226383239030838,-0.3603964149951935,0.9999918937683105,0.6046085357666016,0.362432599067688,-0.07894528657197952,0.9999749660491943,0.4338020384311676,0.33784061670303345,-0.1079791933298111,0.9999276995658875,0.6219099164009094,0.5412778258323669,0.019135676324367523,0.9292027950286865,0.36210745573043823,0.5093705058097839,-0.016504701226949692,0.965984582901001,0.6350083947181702,0.7017411589622498,-0.10491518676280975,0.8184278607368469,0.27247539162635803,0.6430589556694031,-0.10928335040807724,0.8860764503479004,0.6387301087379456,0.7448065876960754,-0.13730093836784363,0.7586326003074646,0.2379637062549591,0.6793574690818787,-0.13505475223064423,0.823663055896759,0.6342917084693909,0.7454994320869446,-0.18825608491897583,0.7738092541694641,0.23963510990142822,0.680894672870636,-0.20483903586864471,0.8469520211219788,0.63039231300354,0.7303269505500793,-0.12792468070983887,0.7859721779823303,0.2525302767753601,0.6748791337013245,-0.14064118266105652,0.8636396527290344,0.565951943397522,0.6877731680870056,0.026343107223510742,0.9999286532402039,0.46138080954551697,0.6906219720840454,-0.02636711671948433,0.9998935461044312,0.5812466144561768,0.914271354675293,0.05234910175204277,0.8589955568313599,0.4748017191886902,0.9281327128410339,-0.09431768208742142,0.8240239024162292,0.5542190670967102,0.9386315941810608,0.7105881571769714,0.05614196136593819,0.4594952166080475,0.9657742977142334,0.5902199149131775,0.056264519691467285,0.5509313344955444,0.9222099184989929,0.7889593243598938,0.08835652470588684,0.4586375653743744,0.9561380743980408,0.665278971195221,0.08292267471551895,0.5548757314682007,1.0156452655792236,0.7585431933403015,0.061375562101602554,0.4478406310081482,1.0240299701690674,0.6004158854484558,0.06472737342119217
Huruf A,0.5377758145332336,0.19794073700904846,-0.47649604082107544,0.9999775886535645,0.5480943918228149,0.1777302324771881,-0.4389760494232178,0.999964714050293,0.554649829864502,0.17927686870098114,-0.4391838014125824,0.9999521374702454,0.5608698725700378,0.18086908757686615,-0.4394187927246094,0.9999586343765259,0.5273938179016113,0.17469599843025208,-0.44359534978866577,0.999955415725708,0.5195387005805969,0.17479096353054047,-0.44365358352661133,0.99993896484375,0.5120573043823242,0.17552915215492249,-0.4438540041446686,0.9999474883079529,0.5661335587501526,0.19546450674533844,-0.2265062779188156,0.9999379515647888,0.49829521775245667,0.1906362622976303,-0.24872422218322754,0.9999189376831055,0.5476372838020325,0.22596606612205505,-0.39750510454177856,0.9999914765357971,0.5227178335189819,0.22342243790626526,-0.4044320583343506,0.9999892115592957,0.6055715680122375,0.3615179657936096,-0.11304523050785065,0.9999730587005615,0.4338490068912506,0.3378280997276306,-0.12803801894187927,0.9999207854270935,0.6236305236816406,0.541359543800354,0.006291461642831564,0.931458592414856,0.36403128504753113,0.508790910243988,-0.04512839764356613,0.9652752876281738,0.6355393528938293,0.7016635537147522,-0.14630642533302307,0.8267499804496765,0.2746419310569763,0.6420983076095581,-0.14737173914909363,0.8887271285057068,0.6395775079727173,0.7449233531951904,-0.18445007503032684,0.7681216597557068,0.239376038312912,0.6793512105941772,-0.17269660532474518,0.8273321390151978,0.6353209018707275,0.7455124258995056,-0.2381933182477951,0.783056914806366,0.2407069206237793,0.6808983683586121,-0.2362080067396164,0.8504878878593445,0.6310973167419434,0.7303171753883362,-0.17059454321861267,0.7941210269927979,0.2542346715927124,0.6745005249977112,-0.17696870863437653,0.8667041659355164,0.5678219795227051,0.6930396556854248,0.02032730169594288,0.9999101161956787,0.4629058241844177,0.695193886756897,-0.020319104194641113,0.9998714923858643,0.5813143253326416,0.9163867831230164,-0.01450216956436634,0.8511611819267273,0.4768030643463135,0.9288316369056702,-0.08029093593358994,0.8091126680374146,0.5535469055175781,0.9587870836257935,0.704555094242096,0.05783383175730705,0.46150851249694824,0.9878117442131042,0.5950325131416321,0.05819045752286911,0.5499423742294312,0.9514496922492981,0.7813092470169067,0.08958970010280609,0.46081429719924927,0.9826709032058716,0.6670862436294556,0.08288588374853134,0.5502623915672302,1.0417066812515259,0.7416250705718994,0.06281900405883789,0.45067763328552246,1.0530463457107544,0.5968221426010132,0.06633742153644562
Huruf A,0.5378583669662476,0.19790653884410858,-0.4986715316772461,0.999967634677887,0.5481134057044983,0.17724643647670746,-0.46292513608932495,0.999947726726532,0.5546989440917969,0.17883768677711487,-0.4631574749946594,0.9999315142631531,0.5608987212181091,0.18055497109889984,-0.463406503200531,0.999940812587738,0.5274770855903625,0.17424581944942474,-0.4648955464363098,0.9999300241470337,0.5195707082748413,0.17432263493537903,-0.46494802832603455,0.9999052286148071,0.5120668411254883,0.1751539409160614,-0.4651525020599365,0.9999169111251831,0.5662999749183655,0.1950555443763733,-0.25500401854515076,0.9999138116836548,0.49827226996421814,0.19022606313228607,-0.2639724016189575,0.9998653531074524,0.5476657152175903,0.22593370079994202,-0.42068392038345337,0.9999878406524658,0.5228021144866943,0.22341638803482056,-0.42370620369911194,0.9999828934669495,0.6070457696914673,0.3609074652194977,-0.14120465517044067,0.9999697208404541,0.43413352966308594,0.33779606223106384,-0.13365012407302856,0.999905526638031,0.6257210373878479,0.5413551926612854,-0.037873025983572006,0.933659017086029,0.36532533168792725,0.5084622502326965,-0.048764828592538834,0.9646293520927429,0.6378535032272339,0.700391948223114,-0.20301857590675354,0.8366779685020447,0.27684158086776733,0.6416532397270203,-0.15041647851467133,0.8918154239654541,0.6411651968955994,0.7438399195671082,-0.24701006710529327,0.7793661952018738,0.24244120717048645,0.6787372827529907,-0.19222983717918396,0.8309155106544495,0.6364864110946655,0.7441025972366333,-0.2982631027698517,0.793956995010376,0.2434709519147873,0.6800899505615234,-0.26715216040611267,0.8540236949920654,0.6323462724685669,0.7291258573532104,-0.22664348781108856,0.8039355874061584,0.2571237087249756,0.6734093427658081,-0.18690387904644012,0.8700128197669983,0.5683619976043701,0.6956287026405334,0.010352692566812038,0.9998785257339478,0.4630261957645416,0.6981993317604065,-0.01023162342607975,0.9998365044593811,0.5813195705413818,0.9163962602615356,-0.01739322394132614,0.8388811945915222,0.478321373462677,0.9292392134666443,-0.033855780959129333,0.782983124256134,0.5550433397293091,1.001163363456726,0.7317007780075073,0.059637319296598434,0.46162447333335876,1.0392049551010132,0.6500296592712402,0.05798371136188507,0.5519376397132874,1.0039384365081787,0.8066433072090149,0.09052189439535141,0.4611068367958069,1.0458590984344482,0.720219612121582,0.08093459159135818,0.5530685186386108,1.089200735092163,0.7350882291793823,0.06367164105176926,0.45253342390060425,1.1089664697647095,0.6025773286819458,0.06535784155130386
Huruf A,0.5379176139831543,0.19790449738502502,-0.527900755405426,0.9999614357948303,0.5482520461082458,0.1771409809589386,-0.49529752135276794,0.9999372959136963,0.5549060106277466,0.17878451943397522,-0.4955240786075592,0.999919056892395,0.5610610246658325,0.18054188787937164,-0.49575233459472656,0.9999288320541382,0.527530312538147,0.17402146756649017,-0.4982912540435791,0.9999179244041443,0.5195708870887756,0.1740657240152359,-0.4983528256416321,0.9998903274536133,0.5120307803153992,0.1749267578125,-0.49854764342308044,0.9999026656150818,0.5667051672935486,0.1949755847454071,-0.2905449867248535,0.9998985528945923,0.4982282221317291,0.18985629081726074,-0.30563730001449585,0.9998520016670227,0.5477369427680969,0.22593973577022552,-0.450150728225708,0.9999856352806091,0.522818922996521,0.22342902421951294,-0.45450082421302795,0.9999799728393555,0.6075708270072937,0.3608340620994568,-0.15849457681179047,0.9999645352363586,0.4343585968017578,0.3377942144870758,-0.16835863888263702,0.9999004602432251,0.6279250979423523,0.5413730144500732,-0.04829791560769081,0.936711847782135,0.36564698815345764,0.508521556854248,-0.08355575054883957,0.965807318687439,0.637534499168396,0.7004016637802124,-0.21102705597877502,0.8451346755027771,0.2780747711658478,0.6415132284164429,-0.22831562161445618,0.896373450756073,0.6412598490715027,0.7439523339271545,-0.25471681356430054,0.7878322005271912,0.2433929145336151,0.6785907745361328,-0.26831182837486267,0.8362409472465515,0.636667788028717,0.7442409992218018,-0.30640822649002075,0.802367627620697,0.24412083625793457,0.6800986528396606,-0.34471502900123596,0.85906583070755,0.6323400139808655,0.7292368412017822,-0.23489931225776672,0.8117995262145996,0.2579653859138489,0.6734292507171631,-0.26434531807899475,0.8746657967567444,0.5682979226112366,0.7006698846817017,0.010718617588281631,0.9998137950897217,0.4629513621330261,0.7013725638389587,-0.010777569375932217,0.9997665286064148,0.582229733467102,0.9343326091766357,0.03351122885942459,0.8364838361740112,0.4782067835330963,0.9399668574333191,-0.0360664501786232,0.7783148288726807,0.5681906938552856,1.0946619510650635,0.6966420412063599,0.0732051283121109,0.4625892639160156,1.115229845046997,0.6105829477310181,0.06330715864896774,0.5649581551551819,1.111451506614685,0.7375524044036865,0.10199341922998428,0.46252161264419556,1.1287649869918823,0.6478589773178101,0.08208533376455307,0.5720418095588684,1.1828280687332153,0.5905198454856873,0.0706142857670784,0.4545513093471527,1.1933531761169434,0.46820831298828125,0.06751324236392975
Huruf A,0.5386966466903687,0.19901388883590698,-0.5374616384506226,0.9999570846557617,0.5491557121276855,0.17755451798439026,-0.5035383701324463,0.9999296069145203,0.5558305382728577,0.17915372550487518,-0.5037449598312378,0.9999096393585205,0.5619903802871704,0.1808585226535797,-0.5039897561073303,0.9999204277992249,0.5285540819168091,0.174592062830925,-0.5074220895767212,0.9999082684516907,0.5204170346260071,0.17468270659446716,-0.5074836015701294,0.9998781681060791,0.5126643776893616,0.17561110854148865,-0.5076658129692078,0.9998918771743774,0.5676041841506958,0.19508320093154907,-0.29389044642448425,0.999885618686676,0.4983396530151367,0.18990305066108704,-0.31468647718429565,0.9998365044593811,0.5483053922653198,0.22720833122730255,-0.457601934671402,0.9999833106994629,0.5237278342247009,0.22518207132816315,-0.46351081132888794,0.9999767541885376,0.6083984971046448,0.36081013083457947,-0.15905657410621643,0.999960720539093,0.4345674514770508,0.3377792537212372,-0.17271612584590912,0.9998939633369446,0.6290846467018127,0.5421352386474609,-0.03214437514543533,0.9383270144462585,0.3658434748649597,0.5085694193840027,-0.08246736973524094,0.9660118818283081,0.6381956338882446,0.7021898627281189,-0.1560472548007965,0.8518881797790527,0.27859851717948914,0.6415585875511169,-0.21981866657733917,0.8983414173126221,0.6423531770706177,0.7445918321609497,-0.19160592555999756,0.7949138283729553,0.24418234825134277,0.6786215305328369,-0.25404927134513855,0.8382263779640198,0.6370560526847839,0.74482661485672,-0.2466716319322586,0.8092107772827148,0.24482199549674988,0.6802005171775818,-0.3252182900905609,0.8609768152236938,0.6325084567070007,0.7303861379623413,-0.17934350669384003,0.8180440068244934,0.25859495997428894,0.6734955906867981,-0.2529227137565613,0.8764059543609619,0.5688409209251404,0.7023887038230896,0.010840591974556446,0.9997763633728027,0.462932288646698,0.7020820379257202,-0.010957427322864532,0.9997329115867615,0.5822848677635193,0.935139000415802,0.025492072105407715,0.8278348445892334,0.47820496559143066,0.9414799213409424,-0.039639342576265335,0.7657482624053955,0.5649729371070862,1.0539175271987915,0.728119969367981,0.07775969058275223,0.4607868194580078,1.0901459455490112,0.605481743812561,0.06670785695314407,0.5612159967422485,1.059830665588379,0.7926905751228333,0.10701382160186768,0.4605989456176758,1.0987051725387573,0.6642857789993286,0.08276961743831635,0.5646127462387085,1.1451706886291504,0.6153403520584106,0.0734131708741188,0.45383086800575256,1.1708260774612427,0.5144428610801697,0.06878198683261871
Huruf A,0.5391172170639038,0.1986795961856842,-0.5175549387931824,0.999955952167511,0.5493788719177246,0.17712345719337463,-0.48335593938827515,0.9999271631240845,0.5560673475265503,0.17872776091098785,-0.4835241436958313,0.9999076724052429,0.5621529817581177,0.18049730360507965,-0.48373135924339294,0.9999184012413025,0.529052734375,0.1742759346961975,-0.48850321769714355,0.9999037981033325,0.5209165811538696,0.17438560724258423,-0.48854246735572815,0.9998729825019836,0.5131945610046387,0.17540672421455383,-0.48869889974594116,0.9998859167098999,0.5676258206367493,0.19465774297714233,-0.28190934658050537,0.9998852610588074,0.4985045790672302,0.18953506648540497,-0.31328311562538147,0.9998291730880737,0.548574686050415,0.22681929171085358,-0.44183188676834106,0.999983012676239,0.5243197679519653,0.22482497990131378,-0.4498419165611267,0.9999759197235107,0.6093180179595947,0.3588772118091583,-0.15492698550224304,0.999961793422699,0.4345835745334625,0.33776599168777466,-0.1545250117778778,0.9998915195465088,0.6311089396476746,0.5410637259483337,-0.03317781537771225,0.9414910674095154,0.36590510606765747,0.5087723135948181,-0.060723304748535156,0.9658172130584717,0.6391547322273254,0.6989647150039673,-0.1679534763097763,0.8618908524513245,0.27867671847343445,0.6421831250190735,-0.1914759874343872,0.900669515132904,0.643011748790741,0.7433499693870544,-0.20980241894721985,0.8075310587882996,0.24443908035755157,0.6793773174285889,-0.22638103365898132,0.8416178226470947,0.6372912526130676,0.7438265681266785,-0.26512202620506287,0.8212583065032959,0.24482092261314392,0.6805230379104614,-0.30589157342910767,0.864233672618866,0.6325670480728149,0.729984700679779,-0.19267688691616058,0.8288931250572205,0.2584151327610016,0.6736745238304138,-0.22802980244159698,0.8793004155158997,0.5694417357444763,0.7030761241912842,0.011018769815564156,0.9997625946998596,0.4630635380744934,0.7032185792922974,-0.011057217605412006,0.9997158646583557,0.5833908915519714,0.9351565837860107,-0.019129062071442604,0.8288015127182007,0.4789485037326813,0.9412801265716553,-0.05888183042407036,0.7579922080039978,0.5635489225387573,1.0329264402389526,0.7053760290145874,0.0824168473482132,0.46188169717788696,1.0727379322052002,0.592842698097229,0.06910105794668198,0.5594744086265564,1.0326247215270996,0.7737029194831848,0.11005081236362457,0.4610637128353119,1.0783449411392212,0.6571398377418518,0.08336635679006577,0.560896635055542,1.1216602325439453,0.653385579586029,0.07616550475358963,0.45531439781188965,1.1460893154144287,0.5308382511138916,0.06984921544790268
Huruf A,0.5390585064888,0.19822055101394653,-0.5358645915985107,0.999951958656311,0.5493351221084595,0.17701183259487152,-0.5041760206222534,0.9999207258224487,0.5560656785964966,0.1786072850227356,-0.5043796300888062,0.9999006986618042,0.5621411800384521,0.18036587536334991,-0.5045861005783081,0.9999112486839294,0.5289235711097717,0.17421673238277435,-0.5084158182144165,0.9998970627784729,0.5206936597824097,0.17437103390693665,-0.5084800124168396,0.9998654127120972,0.5129741430282593,0.17540551722049713,-0.5086665153503418,0.9998781085014343,0.5676440000534058,0.19439697265625,-0.30029886960983276,0.9998767971992493,0.4984166622161865,0.18941670656204224,-0.3236762583255768,0.9998255372047424,0.5485755205154419,0.22660844027996063,-0.4580407738685608,0.9999812841415405,0.5242866277694702,0.22475044429302216,-0.4644390046596527,0.9999741315841675,0.6093258857727051,0.35874059796333313,-0.16488049924373627,0.9999573826789856,0.4345678687095642,0.3377191722393036,-0.18162013590335846,0.9998886585235596,0.6305614113807678,0.5411023497581482,-0.04516977071762085,0.9440849423408508,0.36581915616989136,0.5087718963623047,-0.09892242401838303,0.9672127366065979,0.6390141248703003,0.6998122930526733,-0.1975105106830597,0.8691469430923462,0.2786675989627838,0.6445015072822571,-0.239620178937912,0.9036723375320435,0.6429564356803894,0.7438561916351318,-0.2419901192188263,0.8150385618209839,0.2452584058046341,0.6799556016921997,-0.2772166132926941,0.8444702625274658,0.637180745601654,0.7447219491004944,-0.2969681918621063,0.8287132382392883,0.24520818889141083,0.6814135313034058,-0.3548771142959595,0.8670870065689087,0.6325181722640991,0.7310572266578674,-0.22287218272686005,0.8358244895935059,0.25857216119766235,0.6748605966567993,-0.2756783366203308,0.8821450471878052,0.5694066286087036,0.7033097743988037,0.012243595905601978,0.999671995639801,0.46279391646385193,0.7033335566520691,-0.012114579789340496,0.9996301531791687,0.5834125876426697,0.9362925887107849,0.04476746916770935,0.8276676535606384,0.4794275760650635,0.9446035027503967,-0.032809242606163025,0.7555339336395264,0.5717805027961731,1.09996497631073,0.6582928895950317,0.09334103018045425,0.4632837772369385,1.1233031749725342,0.544877827167511,0.07289665937423706,0.5683736205101013,1.1168242692947388,0.7099987268447876,0.11913759261369705,0.46253451704978943,1.137768268585205,0.5979011654853821,0.08442290872335434,0.5738953351974487,1.1877365112304688,0.5662788152694702,0.08070982247591019,0.46147650480270386,1.202247142791748,0.42871540784835815,0.07047213613986969
Huruf A,0.5393399596214294,0.19725872576236725,-0.5665159821510315,0.9999516010284424,0.5493872761726379,0.17579707503318787,-0.5331449508666992,0.9999199509620667,0.556167483329773,0.17728352546691895,-0.5333128571510315,0.9999000430107117,0.5621991753578186,0.1790381520986557,-0.5335289835929871,0.9999099969863892,0.529090404510498,0.17352046072483063,-0.5388873815536499,0.9998958110809326,0.5207939147949219,0.1738605499267578,-0.5389328598976135,0.9998645186424255,0.5130967497825623,0.17508484423160553,-0.5390980839729309,0.999876856803894,0.5676948428153992,0.19305990636348724,-0.31918248534202576,0.9998751282691956,0.4984181523323059,0.1887720376253128,-0.3491642475128174,0.9998242855072021,0.5487988591194153,0.22571314871311188,-0.48457178473472595,0.9999808073043823,0.524610161781311,0.22407056391239166,-0.4929516315460205,0.9999735951423645,0.6099945306777954,0.35788145661354065,-0.18010835349559784,0.9999575614929199,0.4345718324184418,0.3373836874961853,-0.212894469499588,0.9998883605003357,0.6303915977478027,0.5411465764045715,-0.050637125968933105,0.9451335072517395,0.36576515436172485,0.5088291764259338,-0.12042167037725449,0.9676339030265808,0.6386274695396423,0.7001343965530396,-0.19254273176193237,0.8751817345619202,0.27850762009620667,0.6453824639320374,-0.23585350811481476,0.9058206677436829,0.6428400874137878,0.7438724637031555,-0.23188121616840363,0.8224895000457764,0.24566054344177246,0.6801490187644958,-0.2697751522064209,0.8473508954048157,0.6371262669563293,0.7448221445083618,-0.2872925102710724,0.8358725309371948,0.2456590235233307,0.6815847158432007,-0.34191763401031494,0.869645893573761,0.6323865056037903,0.731525182723999,-0.21764898300170898,0.8421814441680908,0.2589792013168335,0.6752052307128906,-0.26890426874160767,0.8840468525886536,0.5693802833557129,0.7024966478347778,0.020872751250863075,0.9996729493141174,0.4624267518520355,0.7023395895957947,-0.020841483026742935,0.9996318221092224,0.5808608531951904,0.9354540705680847,0.015592205338180065,0.8243323564529419,0.478799045085907,0.9388223886489868,-0.043010398745536804,0.7537680864334106,0.5524333119392395,1.0512895584106445,0.7600816488265991,0.0981004536151886,0.4586764872074127,1.100805401802063,0.6148093342781067,0.07809575647115707,0.5474843382835388,1.081444501876831,0.8354693651199341,0.12473190575838089,0.45691046118736267,1.098844051361084,0.686127245426178,0.08739785850048065,0.5504899024963379,1.16482675075531,0.7555509805679321,0.08461538702249527,0.45146745443344116,1.160446286201477,0.5653275847434998,0.07379371672868729
